ID,Name,Lat,Lon,Population,Area,Distance travelled,Road length
32059,Fulton (MS),34.272094,-88.404964,3217,8.7463898486,,
35299,Greenville (IL),38.887241,-89.400454,6976,8.84739938491,,
25390,Eagle (CO),39.644582,-106.826256,6073,6.36101079899,,
80713,Sevierville (TN),35.833885,-83.554496,22108,64.8533022828,,
12052,Butte-Silver Bow (MT),45.983538,-112.516416,30287,42.7192638919,,
90865,Virginia (MN),47.511485,-92.555221,12883,16.00871651,,
14401,Casa Grande (AZ),32.908121,-111.739572,51331,57.6686752647,,
46315,La Grange (NC),35.305041,-77.790753,2713,4.64125869372,,
16588,Chipley (FL),30.777037,-85.539973,3846,9.70727543754,,
96103,Winchester (VA),39.151042,-78.16304,69449,96.3035279066,3003035.904,300.0
46045,Lafayette (LA),30.166177,-92.013554,252720,462.644396173,9453286.656,1126.0
55063,Marshall (WI),43.171193,-89.064662,3834,3.62857334258,,
57655,Minot (ND),48.23388,-101.287744,42650,58.0519935051,,
27226,El Paso (IL),40.740008,-89.014591,2776,4.14398097654,,
65944,Oroville (CA),39.499249,-121.543103,37122,63.6593177639,,
10837,Brownfield (TX),33.17654,-102.274007,9530,11.6808463776,,
93565,Weedsport (NY),43.041934,-76.586062,3112,5.05565679138,,
56278,Mercer (PA),41.22517,-80.240049,3838,3.9341919396,,
52228,Lynden (WA),48.926016,-122.470877,14533,24.1335092121,,
81172,Shelby (MT),48.506846,-111.86725,3037,3.75548275999,,
35866,Guayama (PR),17.979207,-66.093809,80155,105.492805722,1092744.576,362.0
97642,Yelm (WA),46.951183,-122.579326,12387,20.4065163213,,
17506,Clear Lake (IA),43.141886,-93.375489,7944,17.4824197448,,
44925,Kilauea (HI),22.210461,-159.406019,2611,6.36101079899,,
69022,Petoskey (MI),45.368294,-84.950693,8210,15.4622290187,,
49528,Lexington (TN),35.6653,-88.388489,6560,15.6124483291,,
52174,Lykens (PA),40.573655,-76.699208,2973,5.00385702917,,
90595,Vienna (GA),32.091931,-83.79509,3506,4.80183795656,,
21097,Crete (NE),40.624778,-96.957284,6948,6.52677003805,,
19801,Conway (AR),35.067613,-92.43724,65277,102.817348004,,
25579,Earlimart (CA),35.923815,-119.278771,13211,13.0354101593,,
27793,Erwin (TN),36.143489,-82.409338,9788,16.8142028123,,
92620,Waterloo (WI),43.18638,-88.987899,3059,3.56382363982,,
41941,Itta Bena (MS),33.498247,-90.331221,4223,4.24758050095,,
26065,Ebensburg (PA),40.484465,-78.733571,4914,7.36074620957,,
22253,Danville (VA--NC),36.609291,-79.411192,49344,107.981784296,,
16696,Chowchilla (CA),37.11481,-120.24802,11843,11.8181157475,,
28063,Eudora (KS),38.934944,-95.097399,6140,6.49828016883,,
